"salaries.Rk","salaries.Player","salaries.Salary"
"1","JaVale McGee","$12,000,000"
"2","Gerald Wallace","$10,105,855"
"3","Carl Landry","$6,500,000"
"4","Joel Embiid","$4,626,960"
"5","Jahlil Okafor","$4,582,680"
"6","Nerlens Noel","$3,457,800"
"7","Furkan Aldemir","$3,000,000"
"8","Nik Stauskas","$2,869,440"
"9","Sonny Weems","$2,800,000"
"10","Tony Wroten","$2,179,354"
"11","Kendall Marshall","$2,144,722"
"12","Ish Smith","$1,100,602"
"13","Richaun Holmes","$1,050,000"
"14","Robert Covington","$1,000,000"
"15","Isaiah Canaan","$947,276"
"16","Hollis Thompson","$947,276"
"17","Elton Brand","$890,693"
"18","JaKarr Sampson","$845,059"
"19","Jerami Grant","$845,059"
"20","Pierre Jackson","$750,000"
"21","T.J. McConnell","$525,093"
"22","Christian Wood","$305,789"
"23","Phil Pressey","$172,739"
