"salaries.Rk","salaries.Player","salaries.Salary"
"1","Nikola Vucevic","$11,250,000"
"2","Brandon Jennings","$8,344,497"
"3","Ersan Ilyasova","$7,900,000"
"4","Victor Oladipo","$5,192,520"
"5","C.J. Watson","$5,000,000"
"6","Jason Smith","$4,300,000"
"7","Aaron Gordon","$4,171,680"
"8","Mario Hezonja","$3,741,480"
"9","Elfrid Payton","$2,505,720"
"10","Andrew Nicholson","$2,380,594"
"11","Evan Fournier","$2,288,205"
"12","Shabazz Napier","$1,294,440"
"13","Chris Copeland","$1,100,000"
"14","Jared Cunningham","$981,348"
"15","Dewayne Dedmon","$947,278"
"16","Devyn Marble","$845,059"
"17","Joe Harris","$845,059"
"18","Keith Appling","$161,776"
"19","Jordan Sibert","$100,000"
