"salaries.Rk","salaries.Player","salaries.Salary"
"1","Ricky Rubio","$12,365,000"
"2","Nikola Pekovic","$12,100,000"
"3","Kevin Garnett","$8,500,000"
"4","Kevin Martin","$7,085,000"
"5","Andrew Wiggins","$5,758,680"
"6","Karl-Anthony Towns","$5,703,600"
"7","Nemanja Bjelica","$4,000,000"
"8","Anthony Bennett","$3,650,000"
"9","Zach LaVine","$2,148,360"
"10","Shabazz Muhammad","$2,056,920"
"11","Adreian Payne","$1,938,840"
"12","Andre Miller","$1,499,187"
"13","Tayshaun Prince","$1,499,187"
"14","Gorgui Dieng","$1,474,440"
"15","Tyus Jones","$1,282,080"
"16","Damjan Rudez","$1,149,500"
"17","Greg Smith","$247,623"
