"salaries.Rk","salaries.Player","salaries.Salary"
"1","Wesley Matthews","$16,400,000"
"2","Chandler Parsons","$15,361,500"
"3","Dirk Nowitzki","$8,333,334"
"4","Deron Williams","$5,500,000"
"5","Zaza Pachulia","$5,200,000"
"6","Devin Harris","$4,053,000"
"7","J.J. Barea","$4,000,000"
"8","Raymond Felton","$3,950,313"
"9","David Lee","$2,102,224"
"10","Charlie Villanueva","$1,499,187"
"11","Samuel Dalembert","$1,499,187"
"12","Justin Anderson","$1,449,000"
"13","JaVale McGee","$1,270,964"
"14","Jeremy Evans","$1,100,602"
"15","Dwight Powell","$845,059"
"16","Maurice Ndour","$525,094"
"17","Salah Mejri","$525,093"
"18","Gal Mekel","$315,760"
"19","Brandon Ashley","$50,000"
"20","Jamil Wilson","$50,000"
"21","Jarrid Famous","$10,000"
